,frame_name,count,ex1,ex2,ex3,ex4,ex5,Anders,Meriem,Terne,Steffen,Paul
10,Purpose,1052,"Our goal is to create an automatic metric to predict the readability of local news articles for adults with ID . | Text : goal | Annotation Set : [{'name': 'Goal', 'spans': [{'start': 3, 'end': 20, 'text': 'to create an automatic metric to predict the readability of local news articles for adults with ID'}]}, {'name': 'Agent', 'spans': [{'start': 0, 'end': 1, 'text': 'Our'}]}]","Because of the low levels of written literacy among our target users , we intend to focus on comprehension of texts displayed on a computer screen and read aloud by text-to-speech software ; although some users may depend on the text-tospeech software , we use the term readability . | Text : target | Annotation Set : []","Because of the low levels of written literacy among our target users , we intend to focus on comprehension of texts displayed on a computer screen and read aloud by text-to-speech software ; although some users may depend on the text-tospeech software , we use the term readability . | Text : intend | Annotation Set : [{'name': 'Goal', 'spans': [{'start': 15, 'end': 32, 'text': 'to focus on comprehension of texts displayed on a computer screen and read aloud by text-to-speech software'}]}, {'name': 'Agent', 'spans': [{'start': 13, 'end': 14, 'text': 'we'}]}]","Researchers in computational linguistics have investigated the use of statistical language models -LRB- unigram in particular -RRB- to capture the range of vocabulary from one grade level to another -LRB- Si and Callan , 2001 ; Collins-Thompson and Callan , 2004 -RRB- . | Text : use | Annotation Set : []","The use of syntactic features was also investigated -LRB- Schwarm and Ostendorf , 2005 ; Heilman et al. , 2007 ; Petersen and Ostendorf , 2009 -RRB- in the assessment of text readability for English as a Second Language readers . | Text : use | Annotation Set : []",0,0,0,0,0
11,Aggregate,1048,"Thus , every passage received four sets of corrections made collaboratively with the system and four sets of corrections made based solely on the participants’ internal language models . | Text : sets | Annotation Set : [{'name': 'Aggregate', 'spans': [{'start': 6, 'end': 7, 'text': 'sets'}]}, {'name': 'Individuals', 'spans': [{'start': 7, 'end': 20, 'text': 'of corrections made collaboratively with the system and four sets of corrections made'}]}]","Thus , every passage received four sets of corrections made collaboratively with the system and four sets of corrections made based solely on the participants’ internal language models . | Text : sets | Annotation Set : [{'name': 'Aggregate', 'spans': [{'start': 16, 'end': 17, 'text': 'sets'}]}, {'name': 'Individuals', 'spans': [{'start': 17, 'end': 20, 'text': 'of corrections made'}]}]","The outcomes between different groups of users are compared , and the significance of the difference is determined using the two-sample t-test assuming unequal variances . | Text : groups | Annotation Set : [{'name': 'Aggregate', 'spans': [{'start': 4, 'end': 5, 'text': 'groups'}]}, {'name': 'AggregateProperty', 'spans': [{'start': 3, 'end': 4, 'text': 'different'}]}]","Participants’ Background For this study , we strove to maintain a relatively heterogeneous population ; participants were selected to be varied in their exposures to NLP , experiences with foreign languages , as well as their age and gender . | Text : population | Annotation Set : [{'name': 'Aggregate', 'spans': [{'start': 13, 'end': 14, 'text': 'population'}]}]","Each judge is then shown a set of candidate translations -LRB- the original MT output , an alternative translation by a bilingual speaker , and corrected translations by the participants -RRB- in a randomized order . | Text : set | Annotation Set : [{'name': 'Aggregate', 'spans': [{'start': 6, 'end': 7, 'text': 'set'}]}]",0,0,0,0,0
12,Gizmo,1034,"This is also the main reason why most summarization systems applied to news articles do not outperform a simple baseline that just uses the first 100 words of an article -LRB- Svore et al. , 2007 ; Nenkova , 2005 -RRB- . | Text : systems | Annotation Set : [{'name': 'Use', 'spans': [{'start': 8, 'end': 9, 'text': 'summarization'}]}]","The weights of the features are estimated using machine learning techniques , trained on an annotated corpus . | Text : machine | Annotation Set : []",The system we have implemented is named AURUM : AUtomatic Retrieval of Unique information with Machine learning . | Text : Machine | Annotation Set : [],"The KEA keyphrase extraction system -LRB- Witten et al. , 1999 -RRB- mainly relies on purely statistical features such as term frequencies , using the tf.idf measure from Information Retrieval , 1 as well as on a term 's position in the text . | Text : system | Annotation Set : []","In addition to tf.idf scores , Hulth -LRB- 2004 -RRB- uses part-of-speech tags and NP chunks and complements this with machine learning ; the latter has been used to good results in similar cases -LRB- Turney , 2000 ; Neto et al. , 2002 -RRB- . | Text : machine | Annotation Set : []",0,0,0,0,0
13,Similarity,971,"This approach assumes and results in some type of uniformity regarding the nature of the induced senses : clear-cut -LRB- e.g. homonymic -RRB- and finer sense distinctions are all handled in the same way . | Text : distinctions | Annotation Set : [{'name': 'Entities', 'spans': [{'start': 25, 'end': 26, 'text': 'sense'}]}]","For instance , a SL word w having three equivalents -LRB- a , b and c -RRB- is considered to have three distinct senses -LRB- described as `w-a ' , `w-b ' et `w-c -RRB- ' . | Text : distinct | Annotation Set : []","The assumption of biunivocal -LRB- one-to-one -RRB- correspondences between senses and equivalents disregards the fact that semantically similar equivalents may be used to translate the same sense of a SL word in context . | Text : similar | Annotation Set : [{'name': 'Entity_1', 'spans': [{'start': 18, 'end': 19, 'text': 'equivalents'}]}]","different from the one effectively carried by an instance of an ambiguous word , but not totally wrong , this is directly considered as a false choice . | Text : different | Annotation Set : [{'name': 'Entity_2', 'spans': [{'start': 1, 'end': 18, 'text': 'from the one effectively carried by an instance of an ambiguous word , but not totally wrong'}]}]","A differing weighting of WSD errors would be preferable in these cases , if sense distance information was available -LRB- Resnik and Yarowsky , 2000 -RRB- . | Text : differing | Annotation Set : []",0,0,0,0,0
14,Temporal_collocation,950,"Indeed , early work has demonstrated that syntactic features , and branching properties in particular , are helpful features for automatically distinguishing human translations from machine translations -LRB- Corston-Oliver et al. , 2001 -RRB- . | Text : early | Annotation Set : []",Branching preference mismatch manifest themselves in the English output when translating from languages whose branching properties are radically different from English . | Text : when | Annotation Set : [],"Generally , longer sentences are syntactically more complex but when sentences are approximately the same length the larger parse tree depth can be indicative of increased complexity that can slow processing and lead to lower perceived fluency of the sentence . | Text : when | Annotation Set : []","The length in number of words of each phrase type was counted , then divided by the sentence length . | Text : then | Annotation Set : [{'name': 'Trajector_event', 'spans': [{'start': 0, 'end': 10, 'text': 'The length in number of words of each phrase type'}]}]","One can conclude then that a model of fluency/readability that will allow systems to produce fluent text is key for developing a successful machine translation system . | Text : then | Annotation Set : [{'name': 'Trajector_event', 'spans': [{'start': 4, 'end': 26, 'text': 'that a model of fluency/readability that will allow systems to produce fluent text is key for developing a successful machine translation system'}]}]",0,0,0,0,0
15,Being_obligated,857,"< newSection > 1 Introduction Numerous NLP tasks utilize lexical databases that incorporate concepts -LRB- or word categories -RRB- : sets of terms that share a significant aspect of their meanings -LRB- e.g. , terms denoting types of food , tool names , etc -RRB- . | Text : tasks | Annotation Set : []","In both cases a concept as a set of words should be translated as a whole from one language to another . | Text : should | Annotation Set : [{'name': 'Responsible_party', 'spans': [{'start': 3, 'end': 10, 'text': 'a concept as a set of words'}]}, {'name': 'Duty', 'spans': [{'start': 12, 'end': 13, 'text': 'translated'}]}]","Unlike in the majority of recent studies where the acquisition framework is designed with specific languages in mind , in our task the algorithm should be able to deal well with a wide variety of target languages without any significant manual adaptations . | Text : task | Annotation Set : [{'name': 'Responsible_party', 'spans': [{'start': 20, 'end': 21, 'text': 'our'}]}]","Unlike in the majority of recent studies where the acquisition framework is designed with specific languages in mind , in our task the algorithm should be able to deal well with a wide variety of target languages without any significant manual adaptations . | Text : should | Annotation Set : [{'name': 'Responsible_party', 'spans': [{'start': 22, 'end': 24, 'text': 'the algorithm'}]}, {'name': 'Duty', 'spans': [{'start': 27, 'end': 42, 'text': 'to deal well with a wide variety of target languages without any significant manual adaptations'}]}]","Many MT tasks require automated creation or improvement of dictionaries -LRB- Koehn and Knight , 2001 -RRB- . | Text : tasks | Annotation Set : [{'name': 'Duty', 'spans': [{'start': 2, 'end': 3, 'text': 'tasks'}]}]",0,0,0,0,0
16,Sentencing,844,The idea that features such as average word length and average sentence length could allow an author to be identified dates to Mendenhall -LRB- 1887 -RRB- . | Text : sentence | Annotation Set : [],"LIWC2001 analyzes text and produces 88 output variables , among them word count and average words per sentence . | Text : sentence | Annotation Set : []","Given an input piece of text -LRB- typically one sentence , or a small set of contiguous sentences -RRB- , we want to disambiguate all open-class words in the input taken the rest as context . | Text : sentence | Annotation Set : []","Given an input piece of text -LRB- typically one sentence , or a small set of contiguous sentences -RRB- , we want to disambiguate all open-class words in the input taken the rest as context . | Text : sentences | Annotation Set : []","In our experiments we build a context of at least 20 content words for each sentence to be disambiguated , taking the sentences immediately before and after it in the case that the original sentence was too short . | Text : sentence | Annotation Set : []",0,0,0,0,0
17,Instance,828,"Using the full SMT sentences , we get an added advantage of being able to detect one of the major errors of this technique , also identified by -LRB- Munteanu and Marcu , 2005 -RRB- , i.e , the cases where the initial sentences are identical but the retrieved sentence has a tail of extra words at sentence end . | Text : cases | Annotation Set : [{'name': 'Type', 'spans': [{'start': 40, 'end': 59, 'text': 'where the initial sentences are identical but the retrieved sentence has a tail of extra words at sentence end'}]}, {'name': 'Instance', 'spans': [{'start': 39, 'end': 40, 'text': 'cases'}]}]","In the next section we first describe the baseline SMT system trained on human-provided translations only . | Text : only | Annotation Set : [{'name': 'Type', 'spans': [{'start': 13, 'end': 15, 'text': 'human-provided translations'}]}]","The translation model was trained on the news-commentary corpus -LRB- 1.56M words -RRB- 1 and a bilingual dictionary of about 500k entries.2 This system uses only a limited amount of human-translated parallel texts , in comparison to the bitexts that are available in NIST evaluations . | Text : only | Annotation Set : []","Note that only one reference translation is available . | Text : only | Annotation Set : [{'name': 'Type', 'spans': [{'start': 3, 'end': 4, 'text': 'one'}]}]","In our experiments we considered only the most recent texts -LRB- 2002-2006 , 5.5M sentences ; about 217M French words -RRB- . | Text : only | Annotation Set : []",0,0,0,0,0
18,Relational_quantity,803,"On a different vein of research , current POS tagging technology deals with much larger quantities of training data than treebanks can provide , and lexicon-based unsupervised approaches to POS tagging are practically unlimited in the amount of training data they can use . | Text : much | Annotation Set : [{'name': 'Denoted_quantity', 'spans': [{'start': 13, 'end': 14, 'text': 'much'}]}]","External lexical information enhances unlexicalized parsing performance by as much as 6.67 F-points , an error reduction of 20 % over a Treebank-only parser . | Text : much | Annotation Set : [{'name': 'Denoted_quantity', 'spans': [{'start': 9, 'end': 10, 'text': 'much'}]}]","It is based on a lexicon of roughly 25 , 000 word lemmas and their inflection patterns . | Text : roughly | Annotation Set : [{'name': 'Denoted_quantity', 'spans': [{'start': 7, 'end': 8, 'text': 'roughly'}]}]","Roughly 1 , 500 unique tokens from the Hebrew Treebank can not be assigned any analysis by the KC Lexicon , and Adler et al. -LRB- 2008a -RRB- report that roughly 4.5 % of the tokens in a 42M tokens corpus of news text are unknown to the Lexicon . | Text : Roughly | Annotation Set : [{'name': 'Denoted_quantity', 'spans': [{'start': 0, 'end': 1, 'text': 'Roughly'}]}]","Roughly 1 , 500 unique tokens from the Hebrew Treebank can not be assigned any analysis by the KC Lexicon , and Adler et al. -LRB- 2008a -RRB- report that roughly 4.5 % of the tokens in a 42M tokens corpus of news text are unknown to the Lexicon . | Text : roughly | Annotation Set : [{'name': 'Reference_quantity', 'spans': [{'start': 31, 'end': 32, 'text': '4.5'}]}, {'name': 'Denoted_quantity', 'spans': [{'start': 30, 'end': 31, 'text': 'roughly'}]}]",0,0,0,0,0
19,Text,801,"Instead , we propose a novel , layered approach -LRB- Sec. 2.1 -RRB- , in which syntactic -LRB- TB -RRB- tags are viewed as contextual refinements of the lexicon -LRB- KC -RRB- tags , and conversely , KC tags are viewed as lexical clustering of the syntactic ones . | Text : novel | Annotation Set : [{'name': 'Text', 'spans': [{'start': 5, 'end': 6, 'text': 'novel'}]}]","Hebrew parsing is further complicated by the fact that common prepositions , conjunctions and articles are prefixed to the following word and pronominal elements often appear as suffixes . | Text : articles | Annotation Set : [{'name': 'Text', 'spans': [{'start': 14, 'end': 15, 'text': 'articles'}]}]","Roughly 1 , 500 unique tokens from the Hebrew Treebank can not be assigned any analysis by the KC Lexicon , and Adler et al. -LRB- 2008a -RRB- report that roughly 4.5 % of the tokens in a 42M tokens corpus of news text are unknown to the Lexicon . | Text : report | Annotation Set : [{'name': 'Text', 'spans': [{'start': 28, 'end': 29, 'text': 'report'}]}]","6A `` tag '' in this context means the complete morphological information available for a morpheme in the Treebank : its part of speech , inflectional features and possessive suffixes , but not prefixes or nominative and accusative suffixes , which are taken to be separate morphemes . | Text : speech | Annotation Set : [{'name': 'Text', 'spans': [{'start': 23, 'end': 24, 'text': 'speech'}]}]","In practice , we propose an integrated representation of the tree in which the bottommost layer represents the yield of the tree , the surface forms are tagged with dictionary-based KC POS tags , and syntactic TB POS tags are in turn mapped onto the KC ones -LRB- see Figure 1 -RRB- . | Text : see | Annotation Set : [{'name': 'Source_of_information', 'spans': [{'start': 49, 'end': 51, 'text': 'Figure 1'}]}]",0,0,0,0,0
